Date,Arrivals
2025-08-31,235421
2025-09-30,252207
2025-10-31,290156
2025-11-30,404910
2025-12-31,425917
2026-01-31,376788
2026-02-28,336038
2026-03-31,245650
2026-04-30,204578
2026-05-31,181757
2026-06-30,202338
2026-07-31,229202
