Date,Observed,Forecast,Lower_CI,Upper_CI,Model
2024-07-31,3740.9075360502,3768.462335397802,3660.0457083045485,3876.878962491055,International
2024-08-31,3741.455195755,3796.453067986341,3503.5605460946394,4089.3455898780426,International
2024-09-30,3743.2103058446,3829.203226906364,3324.8606799240424,4333.545773888685,International
2024-10-31,3760.3109075163998,3861.77816807191,3131.645070343665,4591.911265800155,International
2024-11-30,3785.8745485501,3899.458538577382,2936.762531255614,4862.15454589915,International
2024-12-31,3849.5160798951,3939.480118861292,2742.2613762249975,5136.698861497586,International
2025-01-31,3901.0386292369,3952.455653912168,2522.008008714505,5382.903299109831,International
2025-02-28,3898.6581136641,3951.2969586139407,2291.007590273939,5611.586326953942,International
2025-03-31,3899.4425690165,3955.5842184268868,2069.7611663287125,5841.407270525061,International
2025-04-30,3925.9998840269,3959.0821874919643,1853.0740682858873,6065.090306698041,International
2025-05-31,3948.0775396559,3960.102194895573,1639.9027296687664,6280.30166012238,International
2025-06-30,3961.0921841239,3963.8125257561346,1435.865156708002,6491.759894804267,International
2025-07-31,,3978.2886454707077,1249.6356724714055,6706.941618470009,International
2025-08-31,,3997.2691231532326,1075.1198154188837,6919.418430887581,International
2025-09-30,,4019.351552846885,910.6138182582249,7128.089287435545,International
2025-10-31,,4043.7928836390342,754.9915516607743,7332.594215617294,International
2025-11-30,,4078.1823003658083,615.4695305215223,7540.895070210094,International
2025-12-31,,4114.56218381754,483.7543998805654,7745.3699677545155,International
2026-01-31,,4130.66207158014,337.33959959806407,7923.984543562216,International
2026-02-28,,4144.222242024271,193.7556742427937,8094.688809805748,International
2026-03-31,,4156.909013462378,54.303942965612805,8259.514083959144,International
2026-04-30,,4163.04849254504,-86.81913828674988,8412.91612337683,International
2026-05-31,,4166.907807041904,-225.5788646732026,8559.39447875701,International
2026-06-30,,4171.810894733104,-358.8390305538951,8702.460820020104,International
