Date,Observed,Forecast,Lower_CI,Upper_CI,Model
2024-07-31,3740.9075360502,3762.7473773977385,3636.045124668076,3889.449630127401,International
2024-08-31,3741.455195755,3781.18646617902,3484.735750524194,4077.637181833846,International
2024-09-30,3743.2103058446,3796.317702231238,3311.2248952283653,4281.410509234111,International
2024-10-31,3760.3109075163998,3808.7344928429497,3126.916521325672,4490.5524643602275,International
2024-11-30,3785.8745485501,3818.9237918904983,2938.3787610293443,4699.468822751652,International
2024-12-31,3849.5160798951,3827.285196888537,2749.6215755339713,4904.948818243103,International
2025-01-31,3901.0386292369,3834.146620153767,2563.138736902185,5105.154503405349,International
2025-02-28,3898.6581136641,3839.7771486637093,2380.469220796377,5299.0850765310415,International
2025-03-31,3899.4425690165,3844.397596940371,2202.5298328403887,5486.265361040353,International
2025-04-30,3925.9998840269,3848.189166815136,2029.8243909894593,5666.553942640813,International
2025-05-31,3948.0775396559,3851.3005536881033,1862.5805025082877,5840.020604867919,International
2025-06-30,3961.0921841239,3853.8537779706626,1700.8413469442226,6006.866208997102,International
2025-07-31,,3855.948970405165,1544.5283274060243,6167.369613404306,International
2025-08-31,,3857.6682989293304,1393.4842922473604,6321.852305611301,International
2025-09-30,,3859.079191086695,1247.503514620335,6470.654867553056,International
2025-10-31,,3860.2369783575596,1106.3525036777623,6614.121453037356,International
2025-11-30,,3861.1870661141456,969.7843960561972,6752.5897361720945,International
2025-12-31,,3861.9667142998965,837.5488175788573,6886.384611020936,International
2026-01-31,,3862.6064986664787,709.3985338159468,7015.81446351701,International
2026-02-28,,3863.131509874359,585.0938199287648,7141.169199819953,International
2026-03-31,,3863.56233748253,464.40521191219204,7262.719463052868,International
2026-04-30,,3863.9158774168714,347.11511335863497,7380.716641475108,International
2026-05-31,,3864.205994583932,233.01859869870077,7495.393390469163,International
2026-06-30,,3864.444066616106,121.92365871058837,7606.964474521623,International
