Date,Forecast,LowerCI,UpperCI
2025-03-31,3981.7844231824533,2825.9893725110473,5137.579473853859
2025-06-30,4119.392618624029,2966.1885589638014,5272.596678284256
2025-09-30,4096.383522799776,2940.1144080259296,5252.652637573623
2025-12-31,4100.230811756301,2944.3998269424965,5256.061796570105
2026-03-31,4099.587516929418,2943.680911514104,5255.494122344731
