Date,Arrivals
2025-08-31,238512
2025-09-30,237376
2025-10-31,238032
2025-11-30,237652
2025-12-31,237872
2026-01-31,237745
2026-02-28,237818
2026-03-31,237776
2026-04-30,237800
2026-05-31,237786
2026-06-30,237794
2026-07-31,237790
