Date,Observed,Forecast,Lower_CI,Upper_CI,Model
2024-07-31,11393.6664359598,11448.599449717425,11074.865120029614,11822.333779405237,Domestic
2024-08-31,11344.3675355176,11430.002471195647,10688.755327162407,12171.249615228886,Domestic
2024-09-30,11255.5255991664,11414.845948569222,10281.567396385053,12548.12450075339,Domestic
2024-10-31,11251.2707347308,11402.493394746767,9868.257247631194,12936.72954186234,Domestic
2024-11-30,11252.0364702257,11392.426073257691,9457.865095976113,13326.98705053927,Domestic
2024-12-31,11226.9936537048,11384.221214293211,9055.704540058781,13712.737888527641,Domestic
2025-01-31,11207.2651238869,11377.534260797183,8664.804232566314,14090.264289028053,Domestic
2025-02-28,11166.4338947548,11372.084399044334,8286.762162219906,14457.406635868761,Domestic
2025-03-31,11089.3779664736,11367.642766073084,7922.268425563235,14813.017106582935,Domestic
2025-04-30,11096.2714399885,11364.022838752731,7571.435959694556,15156.609717810907,Domestic
2025-05-31,11096.8866201393,11361.07260088088,7234.0149096392015,15488.130292122558,Domestic
2025-06-30,11066.995144141,11358.668159374121,6909.5337574481,15807.802561300143,Domestic
2025-07-31,,11356.708541468535,6597.393003993147,16116.024078943923,Domestic
2025-08-31,,11355.111454442254,6296.927452762272,16413.295456122236,Domestic
2025-09-30,,11353.809829792752,6007.447401468233,16700.172258117273,Domestic
2025-10-31,,11352.749006744094,5728.265522404473,16977.232491083716,Domestic
2025-11-30,,11351.884436807597,5458.713977346536,17245.05489626866,Domestic
2025-12-31,,11351.179813000601,5198.154857714859,17504.20476828634,Domestic
2026-01-31,,11350.605545161266,4945.986073307903,17755.22501701463,Domestic
2026-02-28,,11350.137517331352,4701.644158885733,17998.63087577697,Domestic
2026-03-31,,11349.756075024174,4464.6050198422345,18234.907130206113,Domestic
2026-04-30,,11349.445199848798,4234.383328099828,18464.50707159777,Domestic
2026-05-31,,11349.191836829421,4010.5310630401355,18687.852610618706,Domestic
2026-06-30,,11348.9853461712,3792.6355405213953,18905.335151821004,Domestic
