Date,Observed,Forecast,Lower_CI,Upper_CI
2025-03-31,4928.749032973235,4928.749032973235,4928.749032973235,4928.749032973235
2025-06-30,,5112.524307582738,3593.2485302828322,6631.800084882645
2025-09-30,,5296.29958219224,3147.719172949787,7444.879991434694
2025-12-31,,5480.074856801743,2848.6120198096073,8111.53769379388
2026-03-31,,5663.8501314112455,2625.298576811433,8702.401686011057
